
1657384695;canino: Critical care/hospitalized;10;394;1;AMARANTH FLAKES;80;1.47;117.6
1657384695;canino: Critical care/hospitalized;10;394;1;Adobo fresco;20;0.9417;18.8333
1657384709;canino: Weight loss/obese;10;394;1;Amaranth leaves, cooked, boiled, drained, with salt;90;0.0875;7.875
1657384709;canino: Weight loss/obese;10;394;1;Alfalfa seeds, sprouted, raw;30;0.1208;3.625
1657384735;canino: Critical care/hospitalized;10;394;1;Amaranth leaves, cooked, boiled, drained, with salt;90;0.0875;7.875
1657384735;canino: Critical care/hospitalized;10;394;1;Amaranth;40;1.558;62.32
1657384883;canino: Critical care/hospitalized;10;394;1;AMARANTH FLAKES;80;1.47;117.6
1657384883;canino: Critical care/hospitalized;10;394;1;Alfalfa seeds, sprouted, raw;30;0.1208;3.625
1657384909;felino: Weight loss/obese;10;354;1;Alfalfa seeds, sprouted, raw;30;0.1208;3.625
1657384909;felino: Weight loss/obese;10;354;1;Acerola juice, raw;10;0.0958;0.9583
