1;canino: Critical care/hospitalized;85;3000;1;berenjeans;250;10
2;canino: Weight loss/obese;85;3000;2;berenjeans;250;10
3;canino: Overweight-prone/inactive;85;3000;3;berenjeans;250;10
4;canino: Neutered adult;85;3000;4;berenjeans;250;10
5;canino: Intact adult;85;3000;5;berenjeans;250;10
6;canino: Gestation 1õ mes;85;3000;6;berenjeans;250;10
7;canino: Lactation 1õ mes;85;3000;7;berenjeans;250;10
8;canino: Growth (puppies/kittens) 1õ mes;85;3000;8;berenjeans;250;10
9;canino: Gestation 2õ mes;85;3000;9;berenjeans;250;10
10;canino: Lactation 2õ mes;85;3000;10;berenjeans;250;10
11;canino: Growth (puppies/kittens) 2õ mes;85;3000;11;berenjeans;250;10
12;canino: Gestation 3õ mes;85;3000;12;berenjeans;250;10
13;canino: Lactation 3õ mes;85;3000;13;berenjeans;250;10
14;canino: Growth (puppies/kittens) 3õ mes;85;3000;14;berenjeans;250;10
15;felino: Critical care/hospitalized;85;3000;15;berenjeans;250;10
16;felino: Weight loss/obese;85;3000;16;berenjeans;250;10
17;felino: Overweight-prone/inactive;85;3000;17;berenjeans;250;10
18;felino: Neutered adult;85;3000;18;berenjeans;250;10
19;felino: Intact adult;85;3000;19;berenjeans;250;10
20;felino: Gestation;85;3000;20;berenjeans;250;10
21;felino: Lactation;85;3000;21;berenjeans;250;10
22;felino: Growth (puppies/kittens);85;3000;22;berenjeans;250;10
