1657025415;canino: Cuidados críticos/hospitalizados;100;5534;5;Acerola, (west indian cherry), raw;300
1657025415;canino: Cuidados críticos/hospitalizados;100;5534;5;Abiyuch, raw;100
1657028777;canino: Critical care/hospitalized;100;5534;8;Alfalfa seeds, sprouted, raw;500
1657028777;canino: Critical care/hospitalized;100;5534;8;Acerola juice, raw;200
1657028919;canino: Critical care/hospitalized;100;5534;9;Alfalfa seeds, sprouted, raw;500
1657028919;canino: Critical care/hospitalized;100;5534;9;Acerola juice, raw;200
1657028960;canino: Critical care/hospitalized;100;5534;10;Alfalfa seeds, sprouted, raw;500
1657028960;canino: Critical care/hospitalized;100;5534;10;Abiyuch, raw;100
1657045935;canino: Critical care/hospitalized;100;2214;;11;400
1657045984;canino: Critical care/hospitalized;100;2214;;11;400
1657046327;canino: Critical care/hospitalized;100;2214;;11;400
1657046377;canino: Critical care/hospitalized;100;2214;;11;400
1657046387;canino: Critical care/hospitalized;100;2214;11;11;400
1657046512;canino: Critical care/hospitalized;100;2214;11;11;400
1657046527;canino: Critical care/hospitalized;100;2214;11;11;400
1657046573;canino: Critical care/hospitalized;50;1316;12;12;400
1657046960;canino: Critical care/hospitalized;50;1316;13;13;400
1657046960;canino: Critical care/hospitalized;50;1316;13;13;200
1657047177;canino: Critical care/hospitalized;50;1316;14;500;
1657047177;canino: Critical care/hospitalized;50;1316;14;300;
1657047177;canino: Critical care/hospitalized;50;1316;14;100;
1657047626;felino: Intact adult;3;160;17;Alfalfa seeds, sprouted, raw;50
1657047626;felino: Intact adult;3;160;17;Acerola, (west indian cherry), raw;30
1657047626;felino: Intact adult;3;160;17;Abiyuch, raw;10
1657053119;canino: Critical care/hospitalized;100;2214;18;Acerola juice, raw;200
1657053145;canino: Critical care/hospitalized;100;2214;19;Adobo fresco;400
1657053145;canino: Critical care/hospitalized;100;2214;19;Abiyuch, raw;100
1657053178;canino: Critical care/hospitalized;100;2214;20;Adobo fresco;400
1657053178;canino: Critical care/hospitalized;100;2214;20;Abiyuch, raw;100
1657053212;canino: Critical care/hospitalized;100;2214;21;Adobo fresco;400
1657053212;canino: Critical care/hospitalized;100;2214;21;Abiyuch, raw;100
1657053503;canino: Critical care/hospitalized;100;2214;22;Adobo fresco;400
1657053503;canino: Critical care/hospitalized;100;2214;22;Acerola juice, raw;200
1657053709;canino: Critical care/hospitalized;100;2214;23;Alfalfa seeds, sprouted, raw;500
1657053709;canino: Critical care/hospitalized;100;2214;23;Acerola, (west indian cherry), raw;300
1657053709;canino: Critical care/hospitalized;100;2214;23;Abiyuch, raw;100
1657053731;canino: Neutered adult;100;2214;24;Alfalfa seeds, sprouted, raw;500
1657053731;canino: Neutered adult;100;2214;24;Acerola, (west indian cherry), raw;300
1657053731;canino: Neutered adult;100;2214;24;Abiyuch, raw;100
1657053851;felino: Critical care/hospitalized;100;2214;25;Alfalfa seeds, sprouted, raw;500
1657053851;felino: Critical care/hospitalized;100;2214;25;Acerola, (west indian cherry), raw;300
1657053851;felino: Critical care/hospitalized;100;2214;25;Abiyuch, raw;100
1657054751;canino: Critical care/hospitalized;100;2214;26;Alfalfa seeds, sprouted, raw;500
1657054751;canino: Critical care/hospitalized;100;2214;26;Adobo fresco;400
1657054751;canino: Critical care/hospitalized;100;2214;26;Acerola, (west indian cherry), raw;300
1657054751;canino: Critical care/hospitalized;100;2214;26;Acerola juice, raw;200
1657054751;canino: Critical care/hospitalized;100;2214;26;Abiyuch, raw;100
1657054751;canino: Critical care/hospitalized;100;2214;26;;
1657054857;felino: Critical care/hospitalized;100;2214;27;Alfalfa seeds, sprouted, raw;500
1657054857;felino: Critical care/hospitalized;100;2214;27;Adobo fresco;400
1657054857;felino: Critical care/hospitalized;100;2214;27;Acerola, (west indian cherry), raw;300
1657054857;felino: Critical care/hospitalized;100;2214;27;Acerola juice, raw;200
1657054857;felino: Critical care/hospitalized;100;2214;27;Abiyuch, raw;100
1657054857;felino: Critical care/hospitalized;100;2214;27;;
1657061083;canino: Gestation 3� mes;52;1356;28;Amaranth leaves, cooked, boiled, drained, with salt;45;0.0875;3.9375
1657061083;canino: Gestation 3� mes;52;1356;28;Acerola, (west indian cherry), raw;300;0.1333;40
1657061083;canino: Gestation 3� mes;52;1356;28;Abiyuch, raw;100;0.1438;14.375
1657061083;canino: Gestation 3� mes;52;1356;28;;;;
